"","gndr","eisced","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"16786","Mujer","Máster/Doctorado",40,60,540,9,1,0,7,8,4
"16787","Hombre","Secundaria Inferior",74,120,NA,NA,2,3,5,5,3
"16788","Mujer","Secundaria Inferior",18,20,120,2,0.33,2,7,5,3
"16789","Hombre","Máster/Doctorado",41,60,480,8,1,3,9,8,4
"16790","Mujer","Máster/Doctorado",44,30,570,9.5,0.5,1,7,8,4
"16791","Mujer","Secundaria SUperior",45,840,180,3,14,2,5,4,3
"16792","Hombre","Secundaria Inferior",43,120,60,1,2,3,5,8,5
"16793","Hombre","Secundaria Inferior",74,150,NA,NA,2.5,5,10,5,3
"16794","Mujer","Secundaria SUperior",60,60,NA,NA,1,3,8,6,3
"16795","Mujer","Secundaria SUperior",65,40,180,3,0.67,3,8,8,3
"16796","Hombre","Secundaria Inferior",57,90,NA,NA,1.5,6,8,8,5
"16797","Hombre","Secundaria Inferior",78,150,NA,NA,2.5,2,5,7,3
"16798","Hombre","Máster/Doctorado",81,20,NA,NA,0.33,10,5,10,4
"16799","Mujer","Máster/Doctorado",80,90,NA,NA,1.5,0,7,7,3
"16800","Hombre","Secundaria SUperior",49,60,240,4,1,0,0,7,4
"16801","Mujer","Máster/Doctorado",40,2,630,10.5,0.03,0,8,10,5
"16802","Mujer","Secundaria SUperior",28,NA,240,4,NA,0,6,0,3
"16803","Hombre","Secundaria Inferior",30,5,110,1.83,0.08,2,7,5,3
"16804","Hombre","Secundaria Inferior",15,10,90,1.5,0.17,4,8,7,4
"16805","Hombre","Secundaria SUperior",45,420,630,10.5,7,7,9,4,4
"16806","Mujer","Secundaria Inferior",47,60,NA,NA,1,3,5,5,4
"16807","Hombre","Máster/Doctorado",47,30,122,2.03,0.5,0,1,9,5
"16808","Hombre","Máster/Doctorado",26,150,600,10,2.5,1,5,8,4
"16809","Hombre","Secundaria Inferior",34,60,NA,NA,1,0,8,5,4
"16810","Hombre","Grado Universitario",30,60,NA,NA,1,6,10,10,4
"16811","Mujer","Bachiller",75,150,NA,NA,2.5,0,1,8,2
"16812","Hombre","Bachiller",56,80,270,4.5,1.33,1,6,2,3
"16813","Mujer","Bachiller",36,30,480,8,0.5,4,5,10,5
"16814","Mujer","Bachiller",24,120,450,7.5,2,2,3,5,3
"16815","Mujer","Bachiller",87,100,NA,NA,1.67,9,8,9,3
"16816","Mujer","Máster/Doctorado",70,240,120,2,4,2,9,8,4
"16817","Mujer","Secundaria SUperior",38,90,240,4,1.5,0,5,5,2
"16818","Mujer",NA,NA,170,210,3.5,2.83,0,2,NA,NA
"16819","Mujer","Máster/Doctorado",55,120,210,3.5,2,1,9,7,3
"16820","Mujer","Grado Universitario",25,30,180,3,0.5,0,2,3,3
"16821","Mujer","Bachiller",70,140,230,3.83,2.33,0,8,9,3
"16822","Hombre","Máster/Doctorado",35,85,360,6,1.42,0,7,8,4
"16823","Hombre","Máster/Doctorado",69,90,270,4.5,1.5,1,7,7,4
"16824","Mujer","Máster/Doctorado",39,60,120,2,1,1,8,8,4
"16825","Hombre","Secundaria SUperior",51,60,NA,NA,1,0,9,7,3
"16826","Mujer","Máster/Doctorado",30,3,300,5,0.05,0,7,5,4
"16827","Hombre","Bachiller",45,60,180,3,1,1,7,6,3
"16828","Hombre","Bachiller",22,60,NA,NA,1,0,3,5,3
"16829","Hombre","Secundaria SUperior",55,20,NA,NA,0.33,3,4,5,3
"16830","Hombre","Primaria",71,NA,NA,NA,NA,0,0,0,1
"16831","Hombre","Máster/Doctorado",73,60,15,0.25,1,5,9,10,4
"16832","Mujer","Secundaria SUperior",61,120,60,1,2,0,3,9,3
"16833","Mujer",NA,23,60,180,3,1,3,6,3,3
"16834","Hombre","Bachiller",25,180,300,5,3,0,8,10,5
"16835","Mujer","Máster/Doctorado",46,170,480,8,2.83,2,10,9,4
"16836","Hombre","Bachiller",54,150,180,3,2.5,3,9,2,3
"16837","Mujer","Formación Profesional",NA,120,20,0.33,2,0,7,7,4
"16838","Hombre","Bachiller",23,10,480,8,0.17,3,9,4,2
"16839","Mujer","Bachiller",53,90,210,3.5,1.5,2,5,10,4
"16840","Hombre","Secundaria Inferior",67,90,NA,NA,1.5,2,7,8,4
"16841","Hombre","Secundaria Inferior",37,60,180,3,1,0,3,10,3
"16842","Hombre","Secundaria Inferior",42,90,360,6,1.5,7,6,6,4
"16843","Hombre","Secundaria SUperior",63,150,NA,NA,2.5,0,7,6,3
"16844","Hombre","Secundaria SUperior",76,90,NA,NA,1.5,5,10,10,3
"16845","Mujer","Grado Universitario",66,50,480,8,0.83,0,7,8,3
"16846","Hombre","Secundaria Inferior",70,150,NA,NA,2.5,6,10,6,3
"16847","Hombre","Secundaria Inferior",40,100,NA,NA,1.67,4,4,6,3
"16848","Mujer","Máster/Doctorado",41,10,420,7,0.17,1,5,5,4
"16849","Hombre","Bachiller",34,90,600,10,1.5,0,4,4,3
"16850","Mujer","Bachiller",NA,10,180,3,0.17,7,6,8,3
"16851","Hombre",NA,NA,120,90,1.5,2,2,8,8,4
"16852","Mujer","Secundaria SUperior",29,60,480,8,1,2,6,5,4
"16853","Hombre","Secundaria Inferior",71,45,NA,NA,0.75,2,5,5,3
"16854","Mujer","Máster/Doctorado",40,30,120,2,0.5,1,8,7,5
"16855","Mujer","Secundaria Inferior",18,60,360,6,1,3,7,7,5
"16856","Hombre","Secundaria Inferior",16,20,450,7.5,0.33,1,7,3,5
"16857","Hombre","Secundaria Inferior",58,120,55,0.92,2,3,5,9,3
"16858","Mujer","Secundaria Inferior",47,30,NA,NA,0.5,0,2,6,4
"16859","Hombre","Máster/Doctorado",48,90,510,8.5,1.5,1,8,4,3
"16860","Hombre","Bachiller",29,30,300,5,0.5,3,6,8,3
"16861","Hombre","Secundaria SUperior",23,60,240,4,1,5,8,10,4
"16862","Mujer","Secundaria Inferior",16,15,NA,NA,0.25,1,3,4,4
"16863","Hombre","Bachiller",26,105,120,2,1.75,0,4,3,4
"16864","Mujer","Formación Profesional",65,90,60,1,1.5,7,8,4,4
"16865","Mujer","Bachiller",58,NA,NA,NA,NA,2,8,7,4
"16866","Hombre","Secundaria Inferior",65,120,NA,NA,2,5,5,6,4
"16867","Hombre","Secundaria Inferior",74,150,NA,NA,2.5,2,4,4,4
"16868","Mujer","Secundaria Inferior",79,20,NA,NA,0.33,2,2,7,3
"16869","Mujer","Bachiller",75,75,NA,NA,1.25,0,0,3,3
"16870","Hombre",NA,NA,20,120,2,0.33,0,8,7,3
"16871","Mujer","Bachiller",20,90,180,3,1.5,4,4,10,4
"16872","Mujer","Secundaria Inferior",84,180,NA,NA,3,1,8,8,3
"16873","Hombre","Grado Universitario",49,90,600,10,1.5,0,9,6,4
"16874","Mujer","Máster/Doctorado",39,60,720,12,1,2,9,8,5
"16875","Hombre","Grado Universitario",33,30,720,12,0.5,0,9,5,3
"16876","Mujer","Máster/Doctorado",69,40,90,1.5,0.67,0,8,7,4
"16877","Hombre","Secundaria Inferior",66,30,NA,NA,0.5,0,8,5,4
"16878","Mujer","Grado Universitario",36,70,180,3,1.17,2,4,7,4
"16879","Hombre","Secundaria SUperior",66,240,NA,NA,4,2,0,9,4
"16880","Hombre","Secundaria Inferior",76,40,NA,NA,0.67,7,6,8,4
"16881","Mujer","Secundaria Inferior",89,90,NA,NA,1.5,0,2,7,3
"16882","Hombre","Bachiller",42,360,NA,NA,6,0,0,0,1
"16883","Hombre","Grado Universitario",40,30,120,2,0.5,0,3,9,5
"16884","Mujer","Secundaria SUperior",61,30,NA,NA,0.5,3,6,5,3
"16885","Hombre","Secundaria SUperior",65,180,360,6,3,2,10,9,5
"16886","Hombre","Bachiller",29,30,60,1,0.5,10,9,8,4
"16887","Mujer","Máster/Doctorado",33,30,210,3.5,0.5,0,9,4,3
"16888","Hombre","Secundaria Inferior",18,30,360,6,0.5,1,9,7,4
"16889","Mujer","Grado Universitario",NA,120,300,5,2,0,10,5,5
"16890","Mujer","Secundaria Inferior",75,120,NA,NA,2,0,2,4,3
"16891","Mujer","Secundaria SUperior",69,30,NA,NA,0.5,9,10,10,4
"16892","Mujer","Máster/Doctorado",36,180,480,8,3,1,8,8,4
"16893","Hombre","Secundaria Inferior",63,120,180,3,2,2,7,6,3
"16894","Hombre","Secundaria Inferior",47,20,NA,NA,0.33,2,10,10,3
"16895","Hombre","Secundaria Inferior",16,30,240,4,0.5,0,7,2,3
"16896","Hombre","Secundaria Inferior",53,10,60,1,0.17,0,8,2,2
"16897","Mujer","Secundaria Inferior",43,20,240,4,0.33,1,5,8,4
"16898","Mujer","Formación Profesional",73,300,NA,NA,5,4,8,5,3
"16899","Hombre","Secundaria Inferior",69,150,135,2.25,2.5,0,5,5,2
"16900","Mujer","Secundaria Inferior",65,100,150,2.5,1.67,1,7,5,3
"16901","Mujer","Secundaria Inferior",43,60,150,2.5,1,3,8,9,3
"16902","Hombre","Bachiller",75,180,NA,NA,3,5,10,8,4
"16903","Hombre","Formación Profesional",56,120,480,8,2,1,3,7,4
"16904","Mujer","Bachiller",71,360,NA,NA,6,2,10,8,3
"16905","Hombre","Secundaria Inferior",84,50,NA,NA,0.83,3,7,8,4
"16906","Hombre","Formación Profesional",28,90,900,15,1.5,0,5,5,3
"16907","Mujer","Secundaria Inferior",21,90,270,4.5,1.5,5,9,10,4
"16908","Mujer","Secundaria Inferior",53,120,110,1.83,2,5,8,7,3
"16909","Mujer","Bachiller",21,20,120,2,0.33,0,5,7,4
"16910","Mujer","Secundaria Inferior",72,110,150,2.5,1.83,0,9,7,4
"16911","Hombre","Máster/Doctorado",75,110,90,1.5,1.83,3,7,8,3
"16912","Mujer","Secundaria SUperior",65,180,60,1,3,0,10,9,3
"16913","Mujer","Secundaria Inferior",55,60,NA,NA,1,2,8,5,3
"16914","Hombre","Bachiller",68,180,120,2,3,3,6,9,3
"16915","Hombre","Secundaria Inferior",16,390,200,3.33,6.5,3,3,5,4
"16916","Mujer","Secundaria SUperior",61,80,990,16.5,1.33,3,8,8,3
"16917","Mujer","Secundaria SUperior",47,120,NA,NA,2,0,5,10,5
"16918","Mujer","Secundaria SUperior",30,60,240,4,1,0,9,9,3
"16919","Mujer","Secundaria SUperior",NA,NA,NA,NA,NA,1,9,10,4
"16920","Hombre","Secundaria Inferior",58,110,NA,NA,1.83,1,3,5,3
"16921","Mujer","Máster/Doctorado",43,30,150,2.5,0.5,5,6,8,3
"16922","Mujer","Grado Universitario",35,240,360,6,4,3,10,9,5
"16923","Hombre","Secundaria SUperior",44,NA,180,3,NA,0,3,7,3
"16924","Mujer","Secundaria Inferior",72,270,NA,NA,4.5,2,4,6,4
"16925","Mujer","Máster/Doctorado",26,20,510,8.5,0.33,2,6,5,4
"16926","Mujer","Bachiller",22,60,1020,17,1,1,9,9,4
"16927","Mujer","Secundaria Inferior",62,180,NA,NA,3,3,2,10,5
"16928","Mujer","Grado Universitario",49,60,480,8,1,2,9,10,5
"16929","Hombre","Secundaria Inferior",73,150,NA,NA,2.5,5,3,8,4
"16930","Mujer","Secundaria Inferior",18,20,260,4.33,0.33,0,8,7,4
"16931","Hombre","Secundaria Inferior",17,10,180,3,0.17,0,8,8,5
"16932","Hombre","Bachiller",33,90,150,2.5,1.5,0,2,6,4
"16933","Mujer","Máster/Doctorado",45,70,600,10,1.17,0,9,7,4
"16934","Mujer","Bachiller",18,30,390,6.5,0.5,2,8,7,4
"16935","Hombre","Secundaria Inferior",64,60,NA,NA,1,0,6,3,2
"16936","Hombre","Máster/Doctorado",38,90,480,8,1.5,6,5,7,4
"16937","Mujer","Secundaria Inferior",65,490,425,7.08,8.17,0,9,8,3
"16938","Mujer","Secundaria SUperior",43,30,NA,NA,0.5,0,5,7,4
"16939","Mujer","Bachiller",56,120,120,2,2,3,4,6,4
"16940","Mujer","Máster/Doctorado",57,110,180,3,1.83,3,10,6,3
"16941","Hombre","Bachiller",51,120,240,4,2,1,8,7,4
"16942","Hombre","Grado Universitario",44,60,120,2,1,5,4,10,5
"16943","Mujer","Máster/Doctorado",42,150,480,8,2.5,3,3,8,4
"16944","Hombre","Máster/Doctorado",56,60,240,4,1,4,4,7,2
"16945","Mujer","Secundaria SUperior",20,20,170,2.83,0.33,5,9,4,5
"16946","Hombre","Máster/Doctorado",47,60,540,9,1,2,8,7,5
"16947","Hombre","Máster/Doctorado",64,45,330,5.5,0.75,0,7,7,4
"16948","Hombre","Secundaria SUperior",37,10,NA,NA,0.17,NA,1,7,5
"16949","Hombre","Máster/Doctorado",67,150,300,5,2.5,0,2,5,4
"16950","Mujer","Secundaria SUperior",29,20,600,10,0.33,0,5,3,4
"16951","Mujer","Bachiller",52,60,60,1,1,2,6,4,3
"16952","Mujer","Bachiller",43,240,180,3,4,5,7,7,3
"16953","Hombre","Máster/Doctorado",48,90,200,3.33,1.5,0,6,10,5
"16954","Hombre","Secundaria Inferior",18,10,300,5,0.17,0,9,4,4
"16955","Mujer","Secundaria Inferior",46,60,NA,NA,1,5,9,5,3
"16956","Hombre","Secundaria Inferior",62,90,NA,NA,1.5,0,10,5,3
"16957","Hombre","Secundaria Inferior",54,60,290,4.83,1,5,9,7,3
"16958","Hombre","Máster/Doctorado",26,180,720,12,3,0,9,5,4
"16959","Mujer","Secundaria Inferior",85,60,NA,NA,1,5,NA,5,3
"16960","Mujer","Máster/Doctorado",65,150,NA,NA,2.5,5,8,8,3
"16961","Hombre","Secundaria Inferior",50,90,120,2,1.5,10,10,5,4
"16962","Mujer","Secundaria Inferior",62,60,NA,NA,1,0,3,6,3
"16963","Mujer","Secundaria Inferior",72,60,NA,NA,1,8,9,10,3
"16964","Hombre","Secundaria Inferior",17,NA,NA,NA,NA,3,6,6,4
"16965","Mujer","Bachiller",23,30,780,13,0.5,0,6,6,3
"16966","Hombre","Máster/Doctorado",78,90,60,1,1.5,0,5,5,3
"16967","Mujer","Secundaria SUperior",90,720,NA,NA,12,3,5,5,3
"16968","Mujer","Bachiller",44,240,480,8,4,4,6,7,4
"16969","Hombre","Máster/Doctorado",31,120,840,14,2,0,9,8,4
"16970","Mujer","Secundaria Inferior",17,20,210,3.5,0.33,0,9,3,2
"16971","Hombre","Secundaria Inferior",67,270,NA,NA,4.5,1,4,5,3
"16972","Hombre","Bachiller",48,60,30,0.5,1,1,3,5,4
"16973","Mujer","Máster/Doctorado",31,45,660,11,0.75,0,9,6,3
"16974","Hombre",NA,NA,60,NA,NA,1,1,9,NA,NA
"16975","Mujer","Secundaria Inferior",60,60,NA,NA,1,6,8,5,2
"16976","Mujer","Máster/Doctorado",47,60,240,4,1,0,5,5,3
"16977","Mujer","Grado Universitario",39,120,180,3,2,3,8,6,3
"16978","Hombre","Bachiller",71,180,NA,NA,3,2,9,7,4
"16979","Mujer","Máster/Doctorado",50,30,480,8,0.5,0,10,8,4
"16980","Mujer","Secundaria Inferior",71,80,NA,NA,1.33,0,10,8,3
"16981","Hombre","Secundaria Inferior",72,120,60,1,2,6,10,10,3
"16982","Hombre","Máster/Doctorado",36,210,420,7,3.5,0,7,6,4
"16983","Hombre","Secundaria SUperior",76,60,NA,NA,1,2,8,9,4
"16984","Mujer","Bachiller",20,30,300,5,0.5,0,5,7,4
"16985","Hombre","Formación Profesional",45,45,780,13,0.75,0,7,7,3
"16986","Mujer",NA,NA,15,90,1.5,0.25,0,8,NA,NA
"16987","Mujer","Secundaria Inferior",71,120,NA,NA,2,8,8,5,3
"16988","Mujer","Máster/Doctorado",42,90,90,1.5,1.5,2,7,7,3
"16989","Mujer","Máster/Doctorado",26,60,660,11,1,0,7,9,4
"16990","Hombre","Máster/Doctorado",58,180,240,4,3,2,8,3,2
"16991","Mujer","Máster/Doctorado",41,30,600,10,0.5,0,3,8,3
"16992","Hombre",NA,17,15,300,5,0.25,2,5,8,5
"16993","Hombre","Bachiller",53,15,120,2,0.25,5,5,7,4
"16994","Mujer","Bachiller",65,40,120,2,0.67,3,5,8,4
"16995","Mujer","Secundaria SUperior",30,10,90,1.5,0.17,0,5,9,3
"16996","Hombre","Secundaria Inferior",76,60,NA,NA,1,0,0,4,3
"16997","Mujer","Máster/Doctorado",71,30,60,1,0.5,1,5,8,3
"16998","Mujer",NA,67,75,NA,NA,1.25,5,7,5,2
"16999","Hombre","Máster/Doctorado",29,150,300,5,2.5,3,9,7,4
"17000","Mujer","Secundaria Inferior",16,15,180,3,0.25,1,8,7,4
"17001","Mujer","Grado Universitario",62,180,120,2,3,4,10,5,3
"17002","Mujer","Formación Profesional",45,15,120,2,0.25,0,10,7,4
"17003","Mujer","Secundaria Inferior",18,20,480,8,0.33,0,3,4,4
"17004","Mujer","Secundaria Inferior",59,60,150,2.5,1,2,6,7,3
"17005","Hombre","Formación Profesional",63,150,120,2,2.5,0,10,10,3
"17006","Mujer","Secundaria Inferior",52,120,195,3.25,2,2,8,7,4
"17007","Mujer","Máster/Doctorado",36,60,NA,NA,1,6,6,7,2
"17008","Mujer","Máster/Doctorado",54,60,600,10,1,0,5,7,4
"17009","Mujer","Formación Profesional",36,NA,120,2,NA,0,6,10,5
"17010","Mujer","Secundaria Inferior",72,60,NA,NA,1,0,9,7,3
"17011","Hombre","Secundaria SUperior",23,15,300,5,0.25,3,7,8,5
"17012","Hombre","Grado Universitario",35,140,NA,NA,2.33,0,7,4,3
"17013","Hombre","Secundaria SUperior",51,60,60,1,1,5,5,5,3
"17014","Mujer","Secundaria Inferior",67,50,NA,NA,0.83,1,4,5,3
"17015","Hombre","Máster/Doctorado",57,120,660,11,2,0,9,2,4
"17016","Mujer","Máster/Doctorado",31,NA,480,8,NA,1,9,9,5
"17017","Hombre","Secundaria Inferior",84,135,NA,NA,2.25,0,9,4,3
"17018","Hombre","Secundaria SUperior",30,180,240,4,3,4,8,8,4
"17019","Hombre","Bachiller",50,30,210,3.5,0.5,2,5,7,4
"17020","Mujer","Máster/Doctorado",57,150,390,6.5,2.5,3,10,3,3
"17021","Mujer","Secundaria SUperior",57,120,420,7,2,0,8,10,3
"17022","Hombre","Bachiller",40,150,150,2.5,2.5,2,7,10,5
"17023","Hombre","Secundaria SUperior",53,80,NA,NA,1.33,5,5,5,5
"17024","Mujer","Máster/Doctorado",51,30,600,10,0.5,0,8,8,4
"17025","Hombre","Bachiller",56,60,NA,NA,1,3,7,9,4
"17026","Hombre","Grado Universitario",81,60,120,2,1,0,10,10,3
"17027","Mujer","Bachiller",82,110,NA,NA,1.83,5,5,5,3
"17028","Hombre","Bachiller",NA,10,480,8,0.17,0,5,7,3
"17029","Hombre","Grado Universitario",33,2,480,8,0.03,0,8,3,5
"17030","Mujer","Máster/Doctorado",54,30,540,9,0.5,1,4,8,4
"17031","Mujer","Máster/Doctorado",41,90,630,10.5,1.5,0,8,7,4
"17032","Mujer","Secundaria SUperior",23,60,NA,NA,1,0,10,4,3
"17033","Mujer","Formación Profesional",50,270,NA,NA,4.5,5,6,7,4
"17034","Mujer","Secundaria Inferior",67,60,NA,NA,1,0,2,5,3
"17035","Mujer","Máster/Doctorado",NA,120,300,5,2,2,4,8,5
"17036","Mujer","Máster/Doctorado",40,230,270,4.5,3.83,2,10,9,5
"17037","Mujer","Secundaria SUperior",44,50,90,1.5,0.83,6,9,9,4
"17038","Mujer","Máster/Doctorado",73,90,NA,NA,1.5,3,9,7,3
"17039","Hombre","Bachiller",47,10,60,1,0.17,0,2,5,4
"17040","Mujer","Bachiller",67,130,NA,NA,2.17,10,10,10,3
"17041","Hombre","Máster/Doctorado",41,240,420,7,4,4,7,9,5
"17042","Hombre","Bachiller",32,90,720,12,1.5,2,2,5,2
"17043","Hombre","Secundaria Inferior",85,270,NA,NA,4.5,1,10,10,4
"17044","Mujer","Máster/Doctorado",41,10,180,3,0.17,0,8,8,4
"17045","Mujer","Secundaria Inferior",70,330,210,3.5,5.5,0,1,1,3
"17046","Hombre",NA,NA,120,NA,NA,2,5,6,10,4
"17047","Mujer","Secundaria Inferior",53,300,180,3,5,2,6,6,3
"17048","Mujer","Bachiller",24,60,120,2,1,0,6,9,3
"17049","Mujer","Secundaria SUperior",81,NA,NA,NA,NA,2,10,9,3
"17050","Mujer","Bachiller",50,90,450,7.5,1.5,2,10,7,3
"17051","Hombre","Secundaria Inferior",16,NA,510,8.5,NA,4,6,6,4
"17052","Mujer","Secundaria Inferior",76,210,120,2,3.5,4,8,8,4
"17053","Mujer","Máster/Doctorado",47,25,360,6,0.42,0,5,6,3
"17054","Hombre","Secundaria Inferior",50,60,NA,NA,1,5,8,10,4
"17055","Mujer","Bachiller",28,15,450,7.5,0.25,0,3,9,4
"17056","Hombre","Bachiller",33,30,NA,NA,0.5,8,8,7,4
"17057","Mujer","Secundaria SUperior",64,120,180,3,2,2,7,6,4
"17058","Hombre","Bachiller",61,300,120,2,5,0,5,5,2
"17059","Hombre","Máster/Doctorado",64,30,300,5,0.5,3,8,10,4
"17060","Mujer","Máster/Doctorado",40,45,120,2,0.75,3,10,10,4
"17061","Mujer","Secundaria SUperior",26,60,180,3,1,2,5,6,4
"17062","Mujer","Formación Profesional",47,40,600,10,0.67,2,8,2,2
"17063","Mujer","Formación Profesional",37,15,120,2,0.25,0,10,10,5
"17064","Mujer","Secundaria Inferior",67,70,NA,NA,1.17,1,3,0,3
"17065","Mujer","Máster/Doctorado",60,60,120,2,1,1,5,8,5
"17066","Mujer","Secundaria SUperior",65,180,120,2,3,5,7,10,5
"17067","Mujer","Secundaria SUperior",53,20,240,4,0.33,NA,NA,8,4
"17068","Hombre","Máster/Doctorado",41,30,120,2,0.5,0,8,5,3
"17069","Mujer","Bachiller",29,NA,540,9,NA,0,3,6,3
"17070","Hombre","Secundaria Inferior",68,230,NA,NA,3.83,5,10,5,4
"17071","Hombre","Grado Universitario",51,90,60,1,1.5,2,6,7,3
"17072","Hombre","Grado Universitario",28,30,120,2,0.5,1,4,7,4
"17073","Mujer","Bachiller",NA,180,600,10,3,2,10,7,4
"17074","Hombre","Secundaria Inferior",49,120,NA,NA,2,0,8,10,3
"17075","Mujer","Máster/Doctorado",90,150,NA,NA,2.5,5,5,7,3
"17076","Hombre","Secundaria Inferior",43,60,NA,NA,1,0,1,10,3
"17077","Mujer","Máster/Doctorado",53,60,300,5,1,1,7,8,4
"17078","Mujer","Secundaria Inferior",46,62,122,2.03,1.03,0,5,7,4
"17079","Hombre","Bachiller",67,100,40,0.67,1.67,5,5,8,4
"17080","Hombre","Máster/Doctorado",44,60,570,9.5,1,1,5,8,4
"17081","Mujer",NA,NA,30,420,7,0.5,2,8,2,2
"17082","Hombre","Secundaria SUperior",25,70,410,6.83,1.17,3,7,7,4
"17083","Mujer","Bachiller",82,210,NA,NA,3.5,5,7,8,3
"17084","Mujer","Secundaria SUperior",47,60,240,4,1,0,9,7,4
"17085","Hombre","Bachiller",26,30,60,1,0.5,2,10,7,4
"17086","Hombre","Secundaria SUperior",57,60,90,1.5,1,9,7,4,4
"17087","Hombre","Secundaria SUperior",55,150,100,1.67,2.5,8,8,9,4
"17088","Mujer","Máster/Doctorado",58,30,600,10,0.5,0,9,7,4
"17089","Hombre","Secundaria SUperior",31,60,90,1.5,1,1,6,7,4
"17090","Mujer","Secundaria SUperior",21,20,120,2,0.33,1,8,8,4
"17091","Mujer","Secundaria Inferior",66,60,NA,NA,1,5,5,8,3
"17092","Mujer","Secundaria Inferior",57,20,90,1.5,0.33,2,2,4,3
"17093","Mujer","Máster/Doctorado",27,180,720,12,3,0,7,7,4
"17094","Hombre","Secundaria Inferior",69,120,NA,NA,2,7,8,7,3
"17095","Mujer","Máster/Doctorado",51,150,180,3,2.5,0,2,5,3
"17096","Hombre","Grado Universitario",72,60,30,0.5,1,1,7,9,4
"17097","Hombre","Formación Profesional",66,220,75,1.25,3.67,10,10,NA,3
"17098","Hombre","Grado Universitario",NA,60,600,10,1,1,5,5,NA
"17099","Mujer","Secundaria Inferior",17,20,330,5.5,0.33,1,5,7,3
"17100","Mujer","Secundaria Inferior",49,50,NA,NA,0.83,1,8,5,3
"17101","Mujer","Grado Universitario",75,50,NA,NA,0.83,2,4,7,4
"17102","Hombre","Bachiller",16,210,235,3.92,3.5,0,8,10,5
"17103","Mujer","Grado Universitario",52,330,150,2.5,5.5,0,8,7,4
"17104","Mujer","Grado Universitario",34,120,360,6,2,1,9,7,4
"17105","Mujer","Máster/Doctorado",64,150,270,4.5,2.5,0,5,8,4
"17106","Mujer","Secundaria SUperior",NA,150,480,8,2.5,5,3,5,3
"17107","Hombre","Bachiller",72,120,60,1,2,1,10,5,3
"17108","Hombre","Bachiller",33,59,360,6,0.98,1,5,4,3
"17109","Hombre","Secundaria Inferior",19,10,360,6,0.17,5,6,8,4
"17110","Hombre","Bachiller",47,60,300,5,1,4,9,5,3
"17111","Mujer","Formación Profesional",26,150,190,3.17,2.5,5,5,6,5
"17112","Mujer","Grado Universitario",33,120,300,5,2,0,5,5,4
"17113","Mujer","Secundaria Inferior",16,10,45,0.75,0.17,6,9,9,4
"17114","Mujer",NA,20,NA,237,3.95,NA,0,5,7,4
"17115","Mujer","Secundaria Inferior",81,30,NA,NA,0.5,2,8,3,2
"17116","Mujer","Secundaria Inferior",17,60,570,9.5,1,1,10,10,5
"17117","Hombre","Grado Universitario",53,NA,600,10,NA,1,7,3,4
"17118","Mujer","Bachiller",67,15,180,3,0.25,0,0,10,4
"17119","Hombre","Secundaria Inferior",19,10,240,4,0.17,1,4,6,4
"17120","Mujer","Formación Profesional",72,60,NA,NA,1,6,8,6,4
"17121","Hombre","Bachiller",42,30,360,6,0.5,0,9,7,4
"17122","Mujer","Máster/Doctorado",44,15,90,1.5,0.25,0,10,7,4
"17123","Mujer","Máster/Doctorado",26,15,120,2,0.25,0,6,5,4
"17124","Mujer","Secundaria Inferior",75,160,NA,NA,2.67,4,5,9,3
"17125","Hombre","Secundaria SUperior",19,20,225,3.75,0.33,0,5,5,5
"17126","Mujer","Bachiller",65,5,270,4.5,0.08,0,4,8,3
"17127","Hombre","Máster/Doctorado",54,120,600,10,2,1,7,8,4
"17128","Mujer","Máster/Doctorado",62,90,NA,NA,1.5,0,10,10,4
"17129","Hombre","Máster/Doctorado",32,60,600,10,1,2,9,10,5
"17130","Hombre","Secundaria Inferior",52,60,NA,NA,1,3,8,5,4
"17131","Mujer","Secundaria Inferior",70,15,NA,NA,0.25,2,9,8,4
"17132","Hombre","Secundaria Inferior",52,360,180,3,6,5,9,6,2
"17133","Mujer","Bachiller",NA,30,360,6,0.5,0,4,5,3
"17134","Hombre","Bachiller",59,30,NA,NA,0.5,1,10,6,4
"17135","Mujer","Grado Universitario",44,15,540,9,0.25,0,9,9,3
"17136","Hombre","Máster/Doctorado",40,30,120,2,0.5,2,4,2,1
"17137","Mujer","Máster/Doctorado",40,60,180,3,1,1,8,4,3
"17138","Hombre","Grado Universitario",37,60,600,10,1,0,10,8,5
"17139","Hombre","Bachiller",20,30,240,4,0.5,3,7,7,4
"17140","Mujer","Grado Universitario",28,10,180,3,0.17,0,6,8,4
"17141","Hombre","Secundaria Inferior",20,60,480,8,1,5,10,10,4
"17142","Hombre","Secundaria Inferior",71,170,NA,NA,2.83,0,4,5,2
"17143","Hombre","Secundaria Inferior",65,90,150,2.5,1.5,2,6,7,4
"17144","Mujer","Máster/Doctorado",46,30,120,2,0.5,0,10,5,3
"17145","Hombre","Máster/Doctorado",68,90,300,5,1.5,2,10,8,4
"17146","Mujer","Máster/Doctorado",33,30,600,10,0.5,0,4,9,4
"17147","Mujer","Secundaria Inferior",74,240,NA,NA,4,5,6,6,3
"17148","Mujer","Secundaria SUperior",63,59,150,2.5,0.98,0,5,3,3
"17149","Hombre","Grado Universitario",46,20,240,4,0.33,1,7,8,3
"17150","Hombre","Secundaria Inferior",16,15,340,5.67,0.25,4,7,8,4
